Time;Server;Message_type;CPU Usage;Memory Usage;Latency;Transaction_ID;From_Server;Message
1.3131711716612395;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;INFO;0.3;0.03;3.0204295850254765;8e050f8b-f310-40da-8ebf-8f2f6a031cc6;client;Requesting balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09 by client
1.4673788234945329;balance#c78dd101-15a9-4e95-b644-c7c74c835ea3;INFO;0.2;0.02;2.0759976432226104;61c29cdc-6446-4bbb-b292-43eb74a32332;client;Requesting balance#c78dd101-15a9-4e95-b644-c7c74c835ea3 by client
2.324001631639863;balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c;INFO;0.3;0.03;3.05756357762198;52f68931-5cb8-4834-891e-9f92ae87594c;client;Requesting balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c by client
2.3397533118006693;authentication#37cd7f38-9399-4197-98e3-5d0c46f77465;INFO;0.1;0.01;1.0436159983203044;8e050f8b-f310-40da-8ebf-8f2f6a031cc6;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;Requesting authentication#37cd7f38-9399-4197-98e3-5d0c46f77465 by balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09
2.5409776436444744;authentication#7fbd1d06-dd5c-48b9-a27b-8d35cd6d33b8;INFO;0.1;0.01;1.075723996841417;61c29cdc-6446-4bbb-b292-43eb74a32332;balance#c78dd101-15a9-4e95-b644-c7c74c835ea3;Requesting authentication#7fbd1d06-dd5c-48b9-a27b-8d35cd6d33b8 by balance#c78dd101-15a9-4e95-b644-c7c74c835ea3
2.630464526450226;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;INFO;0.4;0.04;4.093805588829015;4d5c5cd8-e216-4906-9c1a-d1e8245cdd50;client;Requesting balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09 by client
2.73778518056522;balance#c78dd101-15a9-4e95-b644-c7c74c835ea3;INFO;0.4;0.04;4.032553285246116;7d941721-1a07-4aba-a8fc-e8a4910f0786;client;Requesting balance#c78dd101-15a9-4e95-b644-c7c74c835ea3 by client
3.101699317033125;balance#298e8b6e-d34a-41fc-b78a-38243c7a133e;INFO;0.1;0.01;1.0366219265210443;eeaba5ab-9fc3-4563-8a25-c00e877a4031;client;Requesting balance#298e8b6e-d34a-41fc-b78a-38243c7a133e by client
3.3701518467130365;authentication#14592ee6-fac0-46bd-881a-52d4dbc86f29;INFO;0.1;0.01;1.02686930497812;52f68931-5cb8-4834-891e-9f92ae87594c;balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c;Requesting authentication#14592ee6-fac0-46bd-881a-52d4dbc86f29 by balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c
3.4936397999267372;balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c;INFO;0.4;0.04;4.057953891355122;4348187e-de92-45eb-b887-1558603fb905;client;Requesting balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c by client
4.137818128627123;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;INFO;0.8;0.08;8.044906008803535;4a26ef36-39f2-4baf-bc38-5edb2a2de68a;client;Requesting balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09 by client
4.148512396506902;authentication#bef0e5ab-5292-4b4c-b8af-388e876460ca;INFO;0.2;0.02;2.0752760983499563;eeaba5ab-9fc3-4563-8a25-c00e877a4031;balance#298e8b6e-d34a-41fc-b78a-38243c7a133e;Requesting authentication#bef0e5ab-5292-4b4c-b8af-388e876460ca by balance#298e8b6e-d34a-41fc-b78a-38243c7a133e
4.681908411172762;authentication#7fbd1d06-dd5c-48b9-a27b-8d35cd6d33b8;INFO;0.3;0.03;3.043673118463354;4d5c5cd8-e216-4906-9c1a-d1e8245cdd50;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;Requesting authentication#7fbd1d06-dd5c-48b9-a27b-8d35cd6d33b8 by balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09
4.720030961392804;balance#c78dd101-15a9-4e95-b644-c7c74c835ea3;INFO;0.4;0.04;4.072973183230139;89867b05-cd9a-4da4-bd04-a4d81ac4a39f;client;Requesting balance#c78dd101-15a9-4e95-b644-c7c74c835ea3 by client
5.266275583083251;balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c;INFO;0.5;0.05;5.011405461997426;538eaf8e-8b4a-43ce-b5af-ad1fbff61631;client;Requesting balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c by client
5.5217305825656045;authentication#14592ee6-fac0-46bd-881a-52d4dbc86f29;INFO;0.2;0.02;2.061505168349356;4348187e-de92-45eb-b887-1558603fb905;balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c;Requesting authentication#14592ee6-fac0-46bd-881a-52d4dbc86f29 by balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c
5.79531456951484;authentication#7fbd1d06-dd5c-48b9-a27b-8d35cd6d33b8;INFO;0.5;0.05;5.055099863483047;7d941721-1a07-4aba-a8fc-e8a4910f0786;balance#c78dd101-15a9-4e95-b644-c7c74c835ea3;Requesting authentication#7fbd1d06-dd5c-48b9-a27b-8d35cd6d33b8 by balance#c78dd101-15a9-4e95-b644-c7c74c835ea3
