Time;Server;Message_type;CPU Usage;Memory Usage;Latency;Transaction_ID;To_Server;Message
1.3173483804229733;client;INFO;0.006645133804599649;0.007154671752327052;0;463bc729-2274-43b4-b6e4-05745b168c1b;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by client
1.3173483804229733;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;INFO;0.007241722655894194;0.007329913370279161;0;463bc729-2274-43b4-b6e4-05745b168c1b;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;Requesting authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6 by authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6
1.3837997184689699;balance#db378d69-78bb-409a-994f-18b808b06d14;INFO;0.0020221647239982354;0.005721010443129971;0.0664513380459965;463bc729-2274-43b4-b6e4-05745b168c1b;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by balance#db378d69-78bb-409a-994f-18b808b06d14
1.3837997184689699;credit#79f62aad-d546-4726-bcac-d0ee58558c91;INFO;0.005696706958368471;0.001922405621525379;0;463bc729-2274-43b4-b6e4-05745b168c1b;credit#79f62aad-d546-4726-bcac-d0ee58558c91;Requesting credit#79f62aad-d546-4726-bcac-d0ee58558c91 by credit#79f62aad-d546-4726-bcac-d0ee58558c91
4.695642775797661;client;INFO;0.10549088928616725;0.01857123615608754;0.020221647239982356;283f5512-9661-48a5-9032-ac6ae81d1268;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by client
4.768060002356603;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;INFO;0.007954907128454343;0.002672277059408989;0.07241722655894194;283f5512-9661-48a5-9032-ac6ae81d1268;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;Requesting authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6 by authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6
5.822968895218276;balance#db378d69-78bb-409a-994f-18b808b06d14;INFO;0.009855833246934342;0.0038456899638064346;1.0549088928616726;283f5512-9661-48a5-9032-ac6ae81d1268;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by balance#db378d69-78bb-409a-994f-18b808b06d14
5.879935964801961;credit#79f62aad-d546-4726-bcac-d0ee58558c91;INFO;0.009509069371589365;0.009354040937656415;0.05696706958368471;283f5512-9661-48a5-9032-ac6ae81d1268;credit#79f62aad-d546-4726-bcac-d0ee58558c91;Requesting credit#79f62aad-d546-4726-bcac-d0ee58558c91 by credit#79f62aad-d546-4726-bcac-d0ee58558c91
6.448941283500826;client;INFO;0.10605209202408482;0.018343915593939976;0.09855833246934342;55cfc150-757c-43a2-8742-f2b3a5421ec0;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by client
6.52849035478537;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;INFO;0.007445291595993732;0.008625287577030306;0.07954907128454343;55cfc150-757c-43a2-8742-f2b3a5421ec0;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;Requesting authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6 by authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6
7.589011275026218;balance#db378d69-78bb-409a-994f-18b808b06d14;INFO;0.003871269640045782;0.0036257062364857184;1.060520920240848;55cfc150-757c-43a2-8742-f2b3a5421ec0;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by balance#db378d69-78bb-409a-994f-18b808b06d14
7.589011275026218;payment#0c56fbee-e3f8-449e-86b2-f83eceab7a30;INFO;0.007889022315294508;0.0016954665766157587;0;55cfc150-757c-43a2-8742-f2b3a5421ec0;payment#0c56fbee-e3f8-449e-86b2-f83eceab7a30;Requesting payment#0c56fbee-e3f8-449e-86b2-f83eceab7a30 by payment#0c56fbee-e3f8-449e-86b2-f83eceab7a30
7.6841019687421115;credit#79f62aad-d546-4726-bcac-d0ee58558c91;INFO;0.0016256969767668218;0.0015993849469754153;0.09509069371589365;55cfc150-757c-43a2-8742-f2b3a5421ec0;credit#79f62aad-d546-4726-bcac-d0ee58558c91;Requesting credit#79f62aad-d546-4726-bcac-d0ee58558c91 by credit#79f62aad-d546-4726-bcac-d0ee58558c91
9.215308497564115;client;INFO;0.10456770112838656;0.015193306920813675;0.038712696400457824;c1d89e90-88c4-44e1-8148-6302dde44bf5;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by client
9.289761413524053;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;INFO;0.009480151375986748;0.005251362403287477;0.07445291595993732;c1d89e90-88c4-44e1-8148-6302dde44bf5;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;Requesting authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6 by authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6
10.335438424807919;balance#db378d69-78bb-409a-994f-18b808b06d14;INFO;0.0024732353682394063;0.009524670950031993;1.0456770112838656;c1d89e90-88c4-44e1-8148-6302dde44bf5;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by balance#db378d69-78bb-409a-994f-18b808b06d14
10.351695394575586;credit#79f62aad-d546-4726-bcac-d0ee58558c91;INFO;0.0033047334707853463;0.007787524437745964;0.016256969767668217;c1d89e90-88c4-44e1-8148-6302dde44bf5;credit#79f62aad-d546-4726-bcac-d0ee58558c91;Requesting credit#79f62aad-d546-4726-bcac-d0ee58558c91 by credit#79f62aad-d546-4726-bcac-d0ee58558c91
11.50174111000437;client;INFO;0.10373208103272395;0.011911149871447776;0.024732353682394063;4e1dd1e3-347c-4762-ac2c-517285400fcd;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by client
11.596542623764236;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;INFO;0.008281369274936983;0.006349355272018553;0.09480151375986748;4e1dd1e3-347c-4762-ac2c-517285400fcd;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;Requesting authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6 by authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6
12.633863434091475;balance#db378d69-78bb-409a-994f-18b808b06d14;INFO;0.008934959695575673;0.009920189743598918;1.0373208103272396;4e1dd1e3-347c-4762-ac2c-517285400fcd;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by balance#db378d69-78bb-409a-994f-18b808b06d14
12.66691076879933;credit#79f62aad-d546-4726-bcac-d0ee58558c91;INFO;0.0037964642279063212;0.004542968896865285;0.03304733470785346;4e1dd1e3-347c-4762-ac2c-517285400fcd;credit#79f62aad-d546-4726-bcac-d0ee58558c91;Requesting credit#79f62aad-d546-4726-bcac-d0ee58558c91 by credit#79f62aad-d546-4726-bcac-d0ee58558c91
12.883998679130897;client;INFO;0.1094312247511323;0.014435711060927357;0.08934959695575673;61151c47-719b-4acc-8385-90bca0cd5986;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by client
12.966812371880268;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;INFO;0.008094011667169235;0.0056707909489965794;0.08281369274936984;61151c47-719b-4acc-8385-90bca0cd5986;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;Requesting authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6 by authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6
14.061124619391592;balance#db378d69-78bb-409a-994f-18b808b06d14;INFO;0.0036465577030391377;0.0015764534387497635;1.094312247511323;61151c47-719b-4acc-8385-90bca0cd5986;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by balance#db378d69-78bb-409a-994f-18b808b06d14
14.140014842544536;payment#0c56fbee-e3f8-449e-86b2-f83eceab7a30;INFO;0.0016392988773503625;0.0038106715014562436;0.07889022315294508;61151c47-719b-4acc-8385-90bca0cd5986;payment#0c56fbee-e3f8-449e-86b2-f83eceab7a30;Requesting payment#0c56fbee-e3f8-449e-86b2-f83eceab7a30 by payment#0c56fbee-e3f8-449e-86b2-f83eceab7a30
14.177979484823599;credit#79f62aad-d546-4726-bcac-d0ee58558c91;INFO;0.0011729461482725889;0.0020133958171128378;0.03796464227906321;61151c47-719b-4acc-8385-90bca0cd5986;credit#79f62aad-d546-4726-bcac-d0ee58558c91;Requesting credit#79f62aad-d546-4726-bcac-d0ee58558c91 by credit#79f62aad-d546-4726-bcac-d0ee58558c91
16.975351170535177;client;INFO;0.1079347642853424;0.011852596162970274;0.036465577030391376;0c6e1793-28e9-45de-b882-5644aeb6c106;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by client
17.056291287206868;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;INFO;0.005056993561225905;0.006433712883256341;0.08094011667169235;0c6e1793-28e9-45de-b882-5644aeb6c106;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;Requesting authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6 by authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6
17.075408163045562;balance#db378d69-78bb-409a-994f-18b808b06d14;INFO;0.10576779427519753;0.016922321520360432;0.0191168758386934;0c6e1793-28e9-45de-b882-5644aeb6c106;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by balance#db378d69-78bb-409a-994f-18b808b06d14
17.08713762452829;credit#79f62aad-d546-4726-bcac-d0ee58558c91;INFO;0.002274690074359828;0.008541247849130976;0.011729461482725889;0c6e1793-28e9-45de-b882-5644aeb6c106;credit#79f62aad-d546-4726-bcac-d0ee58558c91;Requesting credit#79f62aad-d546-4726-bcac-d0ee58558c91 by credit#79f62aad-d546-4726-bcac-d0ee58558c91
18.10414730591651;client;INFO;0.10576779427519753;0.016922321520360432;0.0191168758386934;bc4b9165-9eff-4710-83af-8f9fb876e2ba;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by client
