,Server,Time_floor,variable,Value
21,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,21,CPU Usage,0.0
1028,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,21,Memory Usage,0.0
2035,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,21,Latency,0.0
22,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,22,CPU Usage,0.0
1029,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,22,Memory Usage,0.0
2036,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,22,Latency,0.0
23,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,23,CPU Usage,0.0
1030,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,23,Memory Usage,0.0
2037,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,23,Latency,0.0
24,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,24,CPU Usage,0.0
1031,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,24,Memory Usage,0.0
2038,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,24,Latency,0.0
25,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,25,CPU Usage,0.0
1032,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,25,Memory Usage,0.0
2039,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,25,Latency,0.0
26,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,26,CPU Usage,0.0
1033,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,26,Memory Usage,0.0
2040,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,26,Latency,0.0
27,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,27,CPU Usage,0.0
1034,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,27,Memory Usage,0.0
2041,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,27,Latency,0.0
28,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,28,CPU Usage,0.0
1035,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,28,Memory Usage,0.0
2042,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,28,Latency,0.0
29,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,29,CPU Usage,0.0
1036,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,29,Memory Usage,0.0
2043,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,29,Latency,0.0
30,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,30,CPU Usage,0.0
1037,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,30,Memory Usage,0.0
2044,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,30,Latency,0.0
31,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,31,CPU Usage,0.0
1038,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,31,Memory Usage,0.0
