,Server,Time_floor,variable,Value
818,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,20,Latency (s),10.04452106225822
21,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,21,CPU Usage (%),1.0
420,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,21,Memory Usage (%),0.12080327868852463
819,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,21,Latency (s),10.05352842280562
22,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,22,CPU Usage (%),1.0
421,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,22,Memory Usage (%),0.12053333333333334
820,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,22,Latency (s),10.055438332395136
23,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,23,CPU Usage (%),1.0
422,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,23,Memory Usage (%),0.12199999999999998
821,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,23,Latency (s),10.05903355585879
24,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,24,CPU Usage (%),1.0
423,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,24,Memory Usage (%),0.12380327868852459
822,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,24,Latency (s),10.059268102442042
25,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,25,CPU Usage (%),1.0
424,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,25,Memory Usage (%),0.1242063492063492
823,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,25,Latency (s),10.05559391157793
26,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,26,CPU Usage (%),1.0
425,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,26,Memory Usage (%),0.12385245901639345
824,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,26,Latency (s),10.057264532991786
27,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,27,CPU Usage (%),1.0
426,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,27,Memory Usage (%),0.12251612903225803
825,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,27,Latency (s),10.052862610033788
28,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,28,CPU Usage (%),1.0
427,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,28,Memory Usage (%),0.12432786885245907
826,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,28,Latency (s),10.05388243167781
29,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,29,CPU Usage (%),1.0
428,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,29,Memory Usage (%),0.12756923076923068
827,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,29,Latency (s),10.058481209789935
30,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,30,CPU Usage (%),1.0
429,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,30,Memory Usage (%),0.12678125000000007
828,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,30,Latency (s),10.055101046527552
31,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,31,CPU Usage (%),1.0
430,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,31,Memory Usage (%),0.12256666666666674
829,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,31,Latency (s),10.055510540519812
32,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,32,CPU Usage (%),1.0
431,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,32,Memory Usage (%),0.12267213114754098
830,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,32,Latency (s),10.052141066689629
33,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,33,CPU Usage (%),1.0
432,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,33,Memory Usage (%),0.12455555555555543
831,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,33,Latency (s),10.052000361798486
34,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,34,CPU Usage (%),1.0
433,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,34,Memory Usage (%),0.12326229508196729
832,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,34,Latency (s),10.054215342668423
35,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,35,CPU Usage (%),1.0
434,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,35,Memory Usage (%),0.12279032258064515
833,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,35,Latency (s),10.055853654017486
36,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,36,CPU Usage (%),1.0
435,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,36,Memory Usage (%),0.12238709677419363
834,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,36,Latency (s),10.05278540079457
37,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,37,CPU Usage (%),1.0
436,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,37,Memory Usage (%),0.12311864406779661
835,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,37,Latency (s),10.057423490087604
38,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,38,CPU Usage (%),1.0
437,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,38,Memory Usage (%),0.12345312500000005
836,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,38,Latency (s),10.054345531363095
39,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,39,CPU Usage (%),1.0
