,Server,Time_floor,variable,Value
19,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,60,CPU Usage,0.10674041425905437
189,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,60,Memory Usage,0.013080089788550318
359,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,60,Latency,0.09693773851768163
20,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,63,CPU Usage,0.005655178207570028
190,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,63,Memory Usage,0.003174961681236081
360,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,63,Latency,1.0674041425905436
21,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,65,CPU Usage,0.00717353493621152
191,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,65,Memory Usage,0.006431135393422081
361,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,65,Latency,0.05930785269248699
22,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,69,CPU Usage,0.10711212959255118
192,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,69,Memory Usage,0.01280832112397575
362,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,69,Latency,0.0814067754149567
23,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,73,CPU Usage,0.007210451916214
193,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,73,Memory Usage,0.007332653279573106
363,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,73,Latency,0.568156672732546
24,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,78,CPU Usage,0.10679493558384648
194,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,78,Memory Usage,0.018766603309786797
364,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,78,Latency,0.07901698878469998
25,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,82,CPU Usage,0.005282305354383309
195,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,82,Memory Usage,0.007732135860834612
365,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,82,Latency,1.0679493558384647
