,Server,Time_floor,variable,Value
0,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,0,CPU Usage (%),7.407407407407407e-05
500,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,0,Memory Usage (%),7.4074074074074075e-06
1000,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,0,Latency (s),0.0007407407407407407
1,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,1,CPU Usage (%),0.0
501,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,1,Memory Usage (%),0.0
1001,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,1,Latency (s),0.0
2,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,2,CPU Usage (%),3.4482758620689657e-05
502,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,2,Memory Usage (%),3.448275862068966e-06
1002,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,2,Latency (s),0.0003448275862068966
3,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,3,CPU Usage (%),0.0
503,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,3,Memory Usage (%),0.0
1003,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,3,Latency (s),0.0
4,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,4,CPU Usage (%),7.407407407407407e-05
504,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,4,Memory Usage (%),7.4074074074074075e-06
1004,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,4,Latency (s),0.0007407407407407407
5,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,5,CPU Usage (%),0.0
505,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,5,Memory Usage (%),0.0
1005,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,5,Latency (s),0.0
6,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,6,CPU Usage (%),0.00015384615384615385
506,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,6,Memory Usage (%),1.5384615384615384e-05
1006,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,6,Latency (s),0.0011538461538461537
7,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,7,CPU Usage (%),0.0
507,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,7,Memory Usage (%),0.0
1007,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,7,Latency (s),0.0
8,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,8,CPU Usage (%),3.846153846153846e-05
508,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,8,Memory Usage (%),3.846153846153846e-06
1008,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,8,Latency (s),0.0003846153846153846
9,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,9,CPU Usage (%),3.7037037037037037e-05
509,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,9,Memory Usage (%),3.7037037037037037e-06
1009,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,9,Latency (s),0.00037037037037037035
10,authentication#37000eb8-957c-4154-9028-ee0cf2d6fd84,10,CPU Usage (%),8e-05
