idx;value
12;0.5554444444444445
16;0.6296999999999999
18;0.6229999999999999
20;0.5757142857142856
23;0.6417142857142857
25;0.5906153846153847
27;0.5838235294117647
30;0.581857142857143
36;0.6138
37;0.6575555555555554
56;0.6422499999999999
64;0.6099166666666667
69;0.6321818181818182
72;0.5847777777777777
73;0.5831999999999998
75;0.7104
81;0.6511250000000001
83;0.6733999999999999
85;0.6492000000000001
87;0.6166842105263157
90;0.6083636363636363
92;0.6390000000000001
95;0.6188333333333332
107;0.8273333333333333
110;0.5650714285714287
112;0.6183333333333333
114;0.5771818181818182
120;0.5443749999999999
126;0.6774545454545455
128;0.6917000000000001
130;0.5532142857142857
132;0.6826363636363637
137;0.6113529411764708
142;0.5631176470588235
151;0.5667647058823531
153;0.6970000000000001
160;0.5425714285714285
163;0.5836666666666667
167;0.6109090909090908
169;0.6823333333333333
172;0.5895384615384615
173;0.6079999999999999
176;0.6417272727272727
181;0.5714736842105264
183;0.5711818181818183
190;0.5740769230769229
191;0.5955714285714286
192;0.5744444444444443
196;0.6065000000000002
200;0.6182727272727273
201;0.5593999999999999
202;0.5716428571428571
205;0.5791875
206;0.66925
210;0.5415
212;0.5618461538461539
221;0.542
222;0.5927777777777778
244;0.6244999999999999
250;0.644875
252;0.6363636363636365
256;0.5690769230769231
264;0.6658571428571428
266;0.5697
267;0.5825384615384616
269;0.6322857142857143
271;0.6707777777777778
274;0.6120909090909091
277;0.6872857142857143
283;0.6213
284;0.7317777777777779
288;0.6339090909090911
290;0.5492
291;0.61225
293;0.5766153846153845
306;0.5698181818181819
310;0.5541666666666666
320;0.6094285714285714
336;0.5928333333333334
338;0.7046666666666667
342;0.6864285714285714
346;0.649625
349;0.6410769230769232
363;0.6391111111111112
368;0.7057272727272728
370;0.6150833333333334
373;0.5938571428571429
379;0.7365
382;0.6673333333333334
383;0.6044285714285715
388;0.643875
400;0.5786875
401;0.5547647058823529
402;0.5840625
404;0.5765555555555554
406;0.6048333333333333
411;0.5606923076923076
413;0.6382000000000001
426;0.5943333333333333
433;0.60025
439;0.6138571428571428
450;0.6280000000000001
453;0.6062222222222222
460;0.5475555555555555
462;0.6344285714285715
466;0.5773749999999999
468;0.6398888888888888
472;0.6106666666666667
482;0.5721538461538461
483;0.5876363636363636
488;0.6206153846153846
500;0.6155
510;0.5633333333333334
511;0.5522727272727274
513;0.5765555555555556
517;0.6398333333333333
518;0.6433571428571428
519;0.6168
520;0.5467647058823529
521;0.5952222222222222
523;0.5796666666666667
527;0.6303333333333334
529;0.6170000000000001
530;0.5435294117647058
531;0.5541666666666666
532;0.5636
533;0.6098333333333333
534;0.6099285714285714
536;0.6764444444444444
542;0.5631
545;0.6111666666666666
548;0.6863999999999999
562;0.5927500000000001
571;0.5632222222222221
572;0.6548571428571429
582;0.6251666666666668
584;0.6199166666666667
590;0.5827333333333333
593;0.5994375000000001
594;0.6306
598;0.6246153846153846
611;0.6333333333333333
614;0.6025
615;0.5960833333333334
617;0.7103999999999999
620;0.5622000000000001
621;0.6596666666666667
625;0.5955714285714286
630;0.5589999999999999
631;0.5925555555555556
635;0.604
636;0.6688000000000001
646;0.6232222222222221
651;0.5788888888888888
653;0.5684285714285714
654;0.5775882352941176
656;0.5844
658;0.6127777777777778
661;0.6554545454545455
662;0.5670000000000001
663;0.6090769230769232
668;0.6071250000000001
671;0.6250909090909089
676;0.5876666666666668
685;0.6273076923076922
686;0.6632500000000001
692;0.6328181818181817
700;0.5762307692307692
704;0.6913333333333332
705;0.6260000000000001
706;0.5725
723;0.5814166666666667
725;0.579
735;0.5889230769230769
743;0.6569166666666666
753;0.5688571428571428
754;0.6452222222222221
759;0.7362857142857144
764;0.6725384615384614
767;0.8057500000000001
768;0.6417142857142857
770;0.5634705882352942
771;0.5834999999999999
773;0.7778181818181817
774;0.5775555555555556
782;0.5843888888888888
789;0.6058571428571429
791;0.5666875
792;0.6684444444444444
800;0.5811538461538461
801;0.5503684210526316
806;0.6138888888888889
807;0.616294117647059
820;0.5586363636363637
821;0.64
