idx;value
0;0.3400836820083683
30;0.9609844559585492
40;1.0
41;0.9925
42;0.9918120805369128
44;0.9925342465753424
50;0.9789333333333332
51;0.9994594594594594
52;0.9791447368421052
53;0.9915333333333332
54;0.99265306122449
60;0.9725827814569538
61;0.9866666666666668
62;0.9921476510067117
64;0.9921333333333332
70;0.9907432432432433
71;0.9791390728476824
72;0.9861073825503356
73;0.9927027027027028
74;0.9919463087248322
80;0.9920408163265304
81;0.98
82;0.9994557823129252
83;0.9919047619047621
84;0.9932885906040269
90;0.9722666666666668
91;0.9933774834437086
92;0.9994594594594594
93;0.9925675675675676
94;1.0
