idx;value
21;0.9902597888792845
30;0.9768347866905556
33;1.1171504691478538
40;1.0521592522472667
41;1.0151221141553692
42;1.0979092344704788
44;1.0389130058063063
51;1.0687878417439085
52;1.0425810507471729
54;1.086845007924679
58;1.1536028593855825
61;1.0409754604114283
66;1.1681830314022916
70;1.04142742995737
75;1.1238099676701638
76;1.0662029455409132
78;1.1175583867790064
81;1.0200076854915567
85;1.082936638355885
90;1.1424265908869675
91;1.051026977613174
97;1.0921514615431276
