idx,value
898,0.7104
930,0.8273333333333333
949,0.6774545454545455
951,0.6917000000000001
955,0.6826363636363637
976,0.6970000000000001
1107,0.7317777777777779
1161,0.7046666666666667
1165,0.6864285714285714
1191,0.7057272727272728
1202,0.7365
1359,0.6764444444444444
1371,0.6863999999999999
1440,0.7103999999999999
1527,0.6913333333333332
1582,0.7362857142857144
1590,0.8057500000000001
1596,0.7778181818181817
1683,0.7090000000000001
1710,0.6808333333333335
1857,0.7312000000000001
1888,0.6809230769230769
2019,0.7221428571428572
2043,0.6896
2059,0.7040909090909092
2094,0.6917500000000001
2102,0.7133636363636363
2227,0.7829090909090909
2234,0.7551111111111111
2414,0.7242857142857143
2458,0.6955000000000001
